"002073.SZ","计算机","计算机软件"
"002074.SZ","电力设备","输变电设备"
"002075.SZ","有色金属","工业金属"
"002076.SZ","家电","照明设备及其他"
"002077.SZ","有色金属","工业金属"
"002078.SZ","轻工制造","造纸"
"002079.SZ","电子元器件","半导体"
"002080.SZ","建材","其他建材"
"002081.SZ","建筑","建筑装修"
"002082.SZ","建材","其他建材"
"002083.SZ","纺织服装","纺织制造"
"002084.SZ","机械","金属制品"
"002085.SZ","汽车","汽车零部件"
"002086.SZ","农林牧渔","渔业"
"002087.SZ","纺织服装","纺织制造"
"002088.SZ","基础化工","合成纤维及树脂"
"002089.SZ","通信","通信设备制造"
"002090.SZ","计算机","计算机软件"
"002091.SZ","商贸零售","贸易"
"002092.SZ","基础化工","化学原料"
"002093.SZ","通信","通信设备制造"
"002094.SZ","基础化工","化学制品"
"002095.SZ","传媒","传媒"
"002096.SZ","基础化工","化学制品"
"002097.SZ","机械","工程机械"
"002098.SZ","纺织服装","纺织制造"
"002099.SZ","医药","化学制药"
"002100.SZ","农林牧渔","牧业"
"002101.SZ","机械","通用设备"
"002102.SZ","建材","其他建材"
"002103.SZ","轻工制造","造纸"
"002104.SZ","通信","通信设备制造"
"002105.SZ","机械","运输设备"
"002106.SZ","电子元器件","其他元器件"
"002107.SZ","医药","中药生产"
"002108.SZ","基础化工","化学制品"
"002109.SZ","基础化工","化学制品"
"002110.SZ","钢铁","普钢"
"002111.SZ","机械","其他专用设备"
"002112.SZ","电力设备","输变电设备"
"002113.SZ","基础化工","农用化工"
"002114.SZ","有色金属","工业金属"
"002115.SZ","通信","通信设备制造"
"002116.SZ","建筑","建筑施工"
"002117.SZ","轻工制造","其他轻工"
"002118.SZ","医药","中药生产"
"002119.SZ","电子元器件","半导体"
"002120.SZ","轻工制造","其他轻工"
"002121.SZ","电力设备","输变电设备"
"002122.SZ","机械","通用设备"
"002123.SZ","电力设备","输变电设备"
"002124.SZ","农林牧渔","牧业"
"002125.SZ","基础化工","化学原料"
"002126.SZ","汽车","汽车零部件"
"002127.SZ","纺织服装","纺织制造"
"002128.SZ","煤炭","煤炭开采洗选"
"002129.SZ","电子元器件","半导体"
"002130.SZ","电力设备","新能源设备"
"002131.SZ","机械","通用设备"
"002132.SZ","机械","金属制品"
"002133.SZ","房地产","房地产开发管理"
"002134.SZ","电子元器件","其他元器件"
"002135.SZ","建筑","建筑施工"
"002136.SZ","基础化工","化学制品"
"002137.SZ","电子元器件","半导体"
"002138.SZ","电子元器件","其他元器件"
"002139.SZ","电子元器件","其他元器件"
"002140.SZ","建筑","建筑施工"
"002141.SZ","电子元器件","电子设备"
"002142.SZ","银行","股份制与城商行"
"002143.SZ","食品饮料","食品"
"002144.SZ","纺织服装","纺织制造"
"002145.SZ","基础化工","化学制品"
"002146.SZ","房地产","房地产开发管理"
"002147.SZ","机械","工程机械"
"002148.SZ","通信","增值服务"
"002149.SZ","有色金属","稀有金属"
"002150.SZ","机械","金属制品"
"002151.SZ","通信","通信设备制造"
"002152.SZ","计算机","计算机硬件"
"002153.SZ","计算机","计算机软件"
"002154.SZ","纺织服装","品牌服饰"
"002155.SZ","有色金属","贵金属"
"002156.SZ","电子元器件","半导体"
"002157.SZ","农林牧渔","牧业"
"002158.SZ","机械","通用设备"
"002159.SZ","餐饮旅游","景区和旅行社"
"002160.SZ","有色金属","工业金属"
"002161.SZ","通信","通信设备制造"
"002162.SZ","建材","其他建材"
"002163.SZ","建材","玻璃"
"002164.SZ","机械","通用设备"
"002165.SZ","基础化工","化学原料"
"002166.SZ","医药","生物医药"
"002167.SZ","有色金属","稀有金属"
"002168.SZ","电力设备","输变电设备"
"002169.SZ","电力设备","输变电设备"
"002170.SZ","基础化工","农用化工"
"002171.SZ","有色金属","工业金属"
"002172.SZ","基础化工","合成纤维及树脂"
"002173.SZ","农林牧渔","渔业"
"002174.SZ","有色金属","贵金属"
"002175.SZ","机械","仪器仪表"
"002176.SZ","机械","仪器仪表"
"002177.SZ","计算机","计算机硬件"
"002178.SZ","建筑","建筑施工"
"002179.SZ","电子元器件","其他元器件"
"002180.SZ","电力设备","输变电设备"
"002181.SZ","传媒","传媒"
"002182.SZ","有色金属","稀有金属"
"002183.SZ","交通运输","公交物流"
"002184.SZ","电力设备","输变电设备"
"002185.SZ","电子元器件","半导体"
"002186.SZ","餐饮旅游","酒店及餐饮"
"002187.SZ","商贸零售","零售"
"002188.SZ","电子元器件","其他元器件"
"002189.SZ","电子元器件","其他元器件"
"002190.SZ","汽车","汽车零部件"
"002191.SZ","轻工制造","其他轻工"
"002192.SZ","建材","其他建材"
"002193.SZ","纺织服装","纺织制造"
"002194.SZ","通信","通信设备制造"
"002195.SZ","计算机","IT服务"
"002196.SZ","机械","仪器仪表"
"002197.SZ","电子元器件","电子设备"
"002198.SZ","医药","中药生产"
"002199.SZ","电子元器件","其他元器件"
"002200.SZ","农林牧渔","林业"
"002201.SZ","建材","其他建材"
"002202.SZ","电力设备","新能源设备"
"002203.SZ","有色金属","工业金属"
"002204.SZ","机械","通用设备"
"002205.SZ","建材","其他建材"
"002206.SZ","纺织服装","纺织制造"
"002207.SZ","石油石化","石油开采"
"002208.SZ","房地产","房地产开发管理"
"002209.SZ","机械","其他专用设备"
"002210.SZ","交通运输","公交物流"
"002211.SZ","基础化工","化学原料"
"002212.SZ","电力设备","输变电设备"
"002213.SZ","汽车","汽车零部件"
"002214.SZ","电子元器件","电子设备"
"002215.SZ","基础化工","农用化工"
"002216.SZ","食品饮料","食品"
"002217.SZ","基础化工","化学制品"
"002218.SZ","电力设备","新能源设备"
"002219.SZ","医药","中药生产"
"002220.SZ","农林牧渔","渔业"
"002221.SZ","石油石化","石油化工"
"002222.SZ","电子元器件","其他元器件"
"002223.SZ","医药","其他医药医疗"
"002224.SZ","基础化工","化学制品"
"002225.SZ","建材","其他建材"
"002226.SZ","基础化工","化学制品"
"002227.SZ","电力设备","输变电设备"
"002228.SZ","轻工制造","其他轻工"
"002229.SZ","轻工制造","其他轻工"
"002230.SZ","通信","增值服务"
"002231.SZ","通信","通信设备制造"
"002232.SZ","计算机","计算机软件"
"002233.SZ","建材","水泥"
"002234.SZ","农林牧渔","牧业"
"002235.SZ","轻工制造","造纸"
"002236.SZ","电子元器件","电子设备"
"002237.SZ","有色金属","贵金属"
"002238.SZ","传媒","传媒"
"002239.SZ","纺织服装","品牌服饰"
"002240.SZ","农林牧渔","林业"
"002241.SZ","电子元器件","其他元器件"
"002242.SZ","家电","小家电"
"002243.SZ","基础化工","化学制品"
